SENSOR,PROD,ALG,YEAR,SUBAREA_NAME,TOTAL_PIXEL_AREA_KM2,N_MONTHS,ANNUAL_MEAN,ANNUAL_SUM,ANNUAL_MTON,ANNUAL_TTON,NC_NAME,TITLE,ID,HISTORY,SUMMARY,KEYWORDS,MAP,RESOLUTION,PERIOD_NAME,PERIOD_METHOD,CLIM_BOUNDS,CLIM_METHOD,CLIM_START,CLIM_END,TIME_UNITS,TIME_ORIGIN,DURATION,IOOS_CATEGORY,STATISTIC_LABEL,LEVEL,PROD$2,PROD_NAME,ALG$2,ALG_NAME,ALG_REFERENCE,UNITS,SENSOR_NAME,PLATFORM,PLATFORM_TYPE,SHORT_NAME,CONTRIBUTOR_NAME,CONTRIBUTOR_ROLE,SOURCE_DATA_URL,SOURCE_DATA_DOI,SOURCE_DATA_LEVEL,SOURCE_DATA_VERSION,SOURCE_DATA_ACCESS_DATE,PERIOD_CODE,TIME,,,
OCCCI,PPD,VGPM2,1998,GB,95351.43,12,0.6013024,2.18341E+13,21834146.8,21834.1468,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,1999,GB,95351.43,12,0.6497362,2.40958E+13,24095750.85,24095.75085,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2000,GB,95351.43,12,0.6684075,2.4519E+13,24518966.64,24518.96664,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2001,GB,95351.43,12,0.6299626,2.30381E+13,23038064.59,23038.06459,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2002,GB,95351.43,12,0.6572635,2.45084E+13,24508442.48,24508.44248,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2003,GB,95351.43,12,0.6146244,2.25454E+13,22545401.47,22545.40147,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2004,GB,95351.43,12,0.5826091,2.14272E+13,21427220.35,21427.22035,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2005,GB,95351.43,12,0.630228,2.29899E+13,22989872.88,22989.87288,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2006,GB,95351.43,12,0.6931872,2.5131E+13,25130982.41,25130.98241,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
OCCCI,PPD,VGPM2,2007,GB,95351.43,12,0.6600816,2.41506E+13,24150601.04,24150.60104,,Monthly range PPD data (Vertically Generalized Production Model - Eppley) from the OC-CCI dataset,,,,,,,Monthly range,,,,,,seconds since 1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,12 months,Productivity,,,PPD,daily primary production,VGPM2,Vertically Generalized Production Model - Eppley,"Behrenfeld_M. J. and P. G. Falkowski (1997). ""Photosynthetic rates derived from satellite-based chlorophyll concentration."" Limnology and Oceanography 42(1): 1-20; Eppley_R. W. (1972). ""Temperature and phytoplankton growth in the sea."" Fishery Bulletin 70(4): 1063-1085.",gcarbon/m^2/day,Ocean Color Climate Change Initiative,SeaWiFS-OrbView2, MERIS-ENVISAT, MODIS-Aqua, VIIRS-SNPP,dataset,OC-CCI,Ocean Colour Climate Change Initiative,Source of the level 3 merged data,http://www.esa-oceancolour-cci.org/,NA,L3,V6.0,20221101-20221105,MM,1672531200
